CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2013-1,14,2016-2,60,65,8464.839999999998,2111.8400000000006
2013-1,15,2016-3,55,62,12902.940000000013,2960.81
2013-1,16,2016-4,64,67,10194.59,2399.5899999999992
2013-1,17,2017-1,39,40,3587.2699999999995,587.8799999999999
2013-1,18,2017-2,40,43,6571.599999999997,1371.98
2013-1,19,2017-3,1,1,109.95,14.15
2013-2,1,2013-2,2226,3120,392440.9500000135,87827.11999999998
2013-2,2,2013-3,350,381,53018.07999999984,11722.230000000001
2013-2,3,2013-4,196,218,33101.36000000006,6760.770000000003
2013-2,4,2014-1,130,144,21948.53000000003,5308.3799999999965
2013-2,5,2014-2,145,157,26924.550000000043,6683.09
2013-2,6,2014-3,134,149,17553.090000000037,4687.4100000000035
2013-2,7,2014-4,114,125,19701.420000000013,4672.34
2013-2,8,2015-1,86,101,13666.250000000007,3379.4600000000014
2013-2,9,2015-2,107,116,20597.320000000018,5083.9000000000015
2013-2,10,2015-3,98,109,16000.320000000012,3651.860000000002
2013-2,11,2015-4,77,85,12891.050000000007,3059.98
2013-2,12,2016-1,76,83,18930.05000000003,5014.51
2013-2,13,2016-2,84,95,20439.89000000002,4734.059999999999
2013-2,14,2016-3,69,73,16368.99000000001,4986.959999999999
2013-2,15,2016-4,66,71,12014.55,2362.83
2013-2,16,2017-1,54,57,9249.339999999995,1995.5899999999997
2013-2,17,2017-2,63,68,12679.61000000001,3887.59
2013-2,18,2017-3,2,2,184.9,27.21
2013-3,1,2013-3,1978,2810,372568.4700000093,73831.51000000014
2013-3,2,2013-4,281,299,38434.86000000002,8464.57
2013-3,3,2014-1,137,146,26095.100000000046,6166.419999999999
2013-3,4,2014-2,161,172,29067.47000000005,7209.1
2013-3,5,2014-3,148,159,29538.910000000036,7304.459999999998
2013-3,6,2014-4,116,127,16642.670000000013,4443.670000000001
2013-3,7,2015-1,93,99,17024.770000000022,4254.540000000003
2013-3,8,2015-2,94,102,17741.580000000024,3572.49
2013-3,9,2015-3,115,122,15883.840000000022,3826.9000000000005
